sample,fastq_1,fastq_2
C1_S13,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/C1_S13_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/C1_S13_L001_R2_001.fastq.gz
C2_S14,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/C2_S14_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/C2_S14_L001_R2_001.fastq.gz
C3_S15,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/C3_S15_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/C3_S15_L001_R2_001.fastq.gz
EB1_S16,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/EB1_S16_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/EB1_S16_L001_R2_001.fastq.gz
EB2_S17,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/EB2_S17_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/EB2_S17_L001_R2_001.fastq.gz
EB3_S18,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/EB3_S18_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/EB3_S18_L001_R2_001.fastq.gz
LB1_S19,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/LB1_S19_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/LB1_S19_L001_R2_001.fastq.gz
LB2_S20,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/LB2_S20_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/LB2_S20_L001_R2_001.fastq.gz
MLP1_S1,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/MLP1_S1_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/MLP1_S1_L001_R2_001.fastq.gz
MLP2_S2,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/MLP2_S2_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/MLP2_S2_L001_R2_001.fastq.gz
MLP3_S3,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/MLP3_S3_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/MLP3_S3_L001_R2_001.fastq.gz
MP-13-1_S10,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/MP-13-1_S10_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/MP-13-1_S10_L001_R2_001.fastq.gz
MP-13-2_S11,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/MP-13-2_S11_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/MP-13-2_S11_L001_R2_001.fastq.gz
MP-13-3_S12,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/MP-13-3_S12_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/MP-13-3_S12_L001_R2_001.fastq.gz
MPP-10-1_S4,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/MPP-10-1_S4_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/MPP-10-1_S4_L001_R2_001.fastq.gz
MPP-10-2_S5,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/MPP-10-2_S5_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/MPP-10-2_S5_L001_R2_001.fastq.gz
MPP-10-3_S6,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/MPP-10-3_S6_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/MPP-10-3_S6_L001_R2_001.fastq.gz
MPP-13-1_S7,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/MPP-13-1_S7_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/MPP-13-1_S7_L001_R2_001.fastq.gz
MPP-13-2_S8,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/MPP-13-2_S8_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Metagenomics-Inc-199/Library_Prep/Run_39/RAW/FASTQ/MPP-13-2_S8_L001_R2_001.fastq.gz
